iter	Passed	Remaining
0	1	119
1	2	107
2	3	109
3	4	98
4	5	95
5	5	92
6	6	90
7	7	90
8	8	89
9	9	86
10	10	85
11	11	83
12	12	81
13	13	79
14	13	78
15	14	76
16	15	76
17	16	76
18	17	75
19	18	74
20	19	74
21	21	74
22	22	74
23	23	74
24	24	74
25	26	75
26	27	74
27	28	74
28	30	73
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	67
35	37	66
36	38	65
37	39	64
38	40	62
39	41	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	36
62	61	35
63	62	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	85	10
89	86	9
90	87	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
